Word,Frequency
accuracy,1
air,1
anti,2
article,3
best,1
bin,9
borne,1
cambodian,1
case,2
cent,1
chicken,2
cold,1
conspiracy,1
data,1
depression,1
distance,2
distancing,3
ever,1
film,1
flu,3
great,1
grip,2
heard,1
home,5
i,2
idea,1
immune,1
immunity,2
is,1
it,1
mild,1
no,1
north,1
overrated,1
plan,1
pole,1
random,3
rate,1
residential,2
retirement,2
sample,1
senior,3
social,5
spanish,1
steve,1
study,1
symptom,1
the,1
think,1
tracing,1
vaccine,4
wings,1
yap,1
