Word,Frequency
alan,1
art,2
bin,1
bravo,4
capture,2
d,1
film,1
full,3
go,2
golden,1
liberal,1
motto,1
network,1
of,1
okay,2
public,2
relaxed,1
religion,1
school,1
socialize,1
source,1
studies,1
subject,1
texas,2
time,2
